d000.s000.t000;man;n
d000.s000.t001;say;v
d000.s001.t000;peer;v
;doubtfully;r
;drinking;n
d000.s001.t001;companion;n
d000.s001.t002;bleary;a
d000.s001.t003;eye;n
d000.s002.t000;have;v
d000.s002.t001;ready;a
d000.s002.t002;answer;n
d000.s002.t003;much;a
d000.s002.t004;surprise;n
d000.s002.t005;fit;n
d000.s002.t006;coughing;n
d000.s003.t000;man;n
d000.s003.t001;drunk;a
d000.s003.t002;crazy;a
d000.s004.t000;newfound;a
d000.s004.t001;buddy;n
d000.s004.t002;match;v
d000.s004.t003;drink;n
d000.s004.t004;drink;n
d000.s004.t005;lose;v
d000.s004.t006;count;n
d000.s004.t007;man;n
d000.s004.t008;eye;n
;still;r
d000.s004.t009;clear;a
d000.s005.t000;guy;n
d000.s005.t001;rocker;n
d000.s005.t002;think;v
d000.s005.t003;look_away;v
d000.s005.t004;eye;n
d000.s006.t000;eye;n
d000.s006.t001;clear;a
;also;r
d000.s006.t002;bright;a
d000.s006.t003;strange;a
d000.s006.t004;intensity;n
;sort;n
d000.s006.t005;cold;a
d000.s006.t006;fire;n
d000.s006.t007;burn;v
d000.s007.t000;notice;v
d000.s008.t000;man;n
d000.s008.t001;drunk;a
d000.s009.t000;wonder;v
d000.s009.t001;get;v
d000.s009.t002;tie;v
d000.s009.t003;stranger;n
;course;n
d000.s010.t000;remember;v
d000.s011.t000;blur;v
d000.s011.t001;hour;n
d000.s011.t002;steady;a
d000.s011.t003;drinking;n
d000.s011.t004;occasion;n
d000.s011.t005;come_back;v
d000.s012.t000;stranger;n
d000.s012.t001;head;n
;seemingly;r
d000.s012.t002;sink;v
d000.s012.t003;thought;n
d000.s012.t004;start;v
d000.s012.t005;cross;v
d000.s012.t006;street;n
d000.s012.t007;light;n
d000.s012.t008;huge;a
d000.s012.t009;moving_van;n
d000.s012.t010;roar;v
d000.s012.t011;intersection;n
d000.s013.t000;brake;n
d000.s013.t001;howl;v
d000.s013.t002;horn;n
d000.s013.t003;blare;v
;furiously;r
d000.s013.t004;man;n
d000.s013.t005;hit;v
d000.s013.t006;call_out;v
d000.s013.t007;second;n
d000.s014.t000;shout;n
d000.s014.t001;involuntary;a
d000.s014.t002;do;v
d000.s014.t003;thinking;n
d000.s014.t004;on_the_spur_of_the_moment;r
d000.s015.t000;as_a_matter_of_fact;r
d000.s015.t001;care;v
d000.s015.t002;guy;n
d000.s015.t003;hit;v
;actually;r
d000.s016.t000;regret;v
d000.s016.t001;open;v
d000.s016.t002;mouth;n
d000.s016.t003;truck;n
d000.s016.t004;come_to;v
d000.s016.t005;stop;n
d000.s016.t006;angry;a
d000.s016.t007;driver;n
d000.s016.t008;jump;v
d000.s016.t009;cab;n
